patch_path,patch_id,flood_pixel_pct,nodata_ratio,strat_key
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0000.npz,patch_0000,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0001.npz,patch_0001,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0002.npz,patch_0002,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0003.npz,patch_0003,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0004.npz,patch_0004,0.020965576171875,0.0,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0005.npz,patch_0005,0.0045318603515625,0.0,low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0006.npz,patch_0006,0.0833282470703125,0.0,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0007.npz,patch_0007,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0008.npz,patch_0008,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0009.npz,patch_0009,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0010.npz,patch_0010,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0011.npz,patch_0011,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0012.npz,patch_0012,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0013.npz,patch_0013,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0014.npz,patch_0014,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0015.npz,patch_0015,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0016.npz,patch_0016,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0017.npz,patch_0017,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0018.npz,patch_0018,0.095550537109375,0.0,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0019.npz,patch_0019,0.0457000732421875,0.0,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0020.npz,patch_0020,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0021.npz,patch_0021,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0022.npz,patch_0022,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0023.npz,patch_0023,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0024.npz,patch_0024,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0025.npz,patch_0025,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0026.npz,patch_0026,0.2071380615234375,0.0,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0027.npz,patch_0027,0.0044403076171875,0.0,low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0028.npz,patch_0028,0.114166259765625,0.0,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0029.npz,patch_0029,0.1959686279296875,0.0,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0030.npz,patch_0030,0.3488922119140625,0.0,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0031.npz,patch_0031,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0032.npz,patch_0032,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0033.npz,patch_0033,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0034.npz,patch_0034,0.0325927734375,0.0,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0035.npz,patch_0035,0.0478515625,0.0,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0036.npz,patch_0036,0.3227081298828125,0.0,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0037.npz,patch_0037,0.3296356201171875,0.0,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0038.npz,patch_0038,0.533843994140625,0.0,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0039.npz,patch_0039,0.4848785400390625,0.0,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0040.npz,patch_0040,0.007110595703125,0.0,low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0041.npz,patch_0041,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0042.npz,patch_0042,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0043.npz,patch_0043,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0044.npz,patch_0044,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0045.npz,patch_0045,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0046.npz,patch_0046,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0047.npz,patch_0047,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0048.npz,patch_0048,0.355072021484375,0.0,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0049.npz,patch_0049,0.412567138671875,0.0,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0050.npz,patch_0050,0.004913330078125,0.0,low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0051.npz,patch_0051,0.0230255126953125,0.0,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0052.npz,patch_0052,0.1046295166015625,0.0,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0053.npz,patch_0053,0.4663238525390625,0.0,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0054.npz,patch_0054,0.3900604248046875,0.0,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0055.npz,patch_0055,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0056.npz,patch_0056,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0057.npz,patch_0057,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0058.npz,patch_0058,0.0,0.0,zero
f:\MAPATHON\sylhet_flood_2024\data\processed\patches\patch_0059.npz,patch_0059,0.0,0.0,zero
